Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking",Sönke Ahrens,"",9783982438818,digital,read,2022/10/10,2022/12/28,2022/10/10-2022/12/28,1,"",,,,,,,,,"",,"",No
Middle of the Night,Riley Sager,"",B0CJBQVLNK,digital,read,2024/10/07,2024/10/17,2024/10/06-2024/10/17,1,"dark, mysterious, tense",medium,A mix,No,N/A,No,No,4.0,"","","",chloes-book,No
Make Time: How to Focus on What Matters Every Day,"Jake Knapp, John Zeratsky","",9780525572428,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
Mistborn: The Final Empire,Brandon Sanderson,"","",digital,read,2025/08/23,2025/09/24,2025/08/22-2025/09/24,1,"adventurous, hopeful",medium,Character,Yes,Yes,It's complicated,It's complicated,4.25,"","","","",No
The Perks of Being a Wallflower,Stephen Chbosky,"",147113346X,paperback,to-read,2023/05/22,"","",0,"",,,,,,,,,"",,"",Yes
Plutarch's Lives: Life of Cato the Younger,"Plutarch, Plutarch","",,digital,read,2025/06/27,2025/07/09,2025/06/27-2025/07/09,1,"",,,,,,,,,"",,"",No
Hyperion,Dan Simmons,"",9780553283686,paperback,to-read,2025/08/23,"","",0,"",,,,,,,,,"",,"",No
On the Shortness of Life,Lucius Annaeus Seneca,"",9780141018812,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",Yes
Lord of the Flies,William Golding,Jessica Hische (Illustrator),9780143124290,hardcover,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
No Country for Old Men,Cormac McCarthy,"",9780307390530,digital,read,2025/08/02,2025/08/06,2025/08/02-2025/08/06,1,"dark, emotional, tense",medium,Character,No,It's complicated,Yes,No,4.0,"","","","",No
Children of Dune,Frank Herbert,Brian Herbert (Contributor),9781440630514,digital,read,2023/05/21,2023/12/29,2023/10/08-2023/12/29,1,"adventurous, inspiring",medium,"","","","","",4.0,,"","","",Yes
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"",9780062301239,hardcover,to-read,2018/05/10,"","",0,"",,,,,,,,,"",,"",No
Slaughterhouse-Five,Kurt Vonnegut,"",9780385333849,paperback,read,2023/05/31,2025/08/02,2025/07/26-2025/08/02,1,"dark, reflective",fast,"","","","","",4.25,,"","","",No
Steve Jobs,Walter Isaacson,"",9781451648539,hardcover,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
The Picture of Dorian Gray,Oscar Wilde,"",9781912714742,hardcover,did-not-finish,2024/01/03,"","",0,"",,,,,,,,,"",,read-together,Yes
Do Androids Dream of Electric Sheep?,Philip K. Dick,"",9780345508553,digital,read,2023/05/20,2024/01/04,2023/12/31-2024/01/04,1,"adventurous, dark, reflective, sad",medium,Character,No,It's complicated,It's complicated,No,4.0,"","","","",No
Brave New World,Aldous Huxley,"",9781407021010,digital,read,2024/09/04,2024/10/05,2024/09/04-2024/10/05,1,"challenging, dark, reflective",medium,Character,It's complicated,It's complicated,Yes,It's complicated,4.0,"","","","",No
The Left Hand of Darkness,Ursula K. Le Guin,"Charlie Jane Anders (Contributor), David Mitchell (Contributor)",9781101665398,digital,read,2024/01/04,2024/01/17,2024/01/04-2024/01/17,1,"adventurous, challenging, hopeful, informative, reflective",medium,Character,No,No,Yes,No,4.0,"","","","",Yes
